order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,age_group,discount_group,delivery_group,order_year,order_month,order_dayofweek,is_weekend,returned_target,Predicted_Return,Return_Probability,Risk_Score,Risk_Category
O100000,C17270,P234890,Home,164.08,0.15,1,Credit Card,2023-12-23,4,West,No,139.47,7.88,31.17,60,Female,46-60,11-20%,4-5 Days,2023,12,5,1,0,1,0.5032373496686288,50.32,Medium
O100001,C17603,P228204,Grocery,24.73,0.0,1,Credit Card,2025-04-03,6,South,No,24.73,4.6,-2.62,37,Male,31-45,0-10%,6-7 Days,2025,4,3,0,0,0,0.20680342873213736,20.68,Low
O100002,C10860,P213892,Electronics,175.58,0.05,1,Credit Card,2024-10-08,4,North,No,166.8,6.58,13.44,34,Male,31-45,0-10%,4-5 Days,2024,10,1,0,0,1,0.5655773519509928,56.56,Medium
O100003,C15390,P208689,Electronics,63.67,0.0,1,UPI,2024-09-14,6,South,No,63.67,5.5,2.14,21,Female,18-30,0-10%,6-7 Days,2024,9,5,1,0,0,0.4927196537039811,49.27,Medium
O100004,C15226,P228063,Home,16.33,0.15,1,COD,2024-12-21,6,East,No,13.88,2.74,1.15,39,Male,31-45,11-20%,6-7 Days,2024,12,5,1,0,0,0.42524140351358347,42.52,Medium
O100005,C15191,P214062,Beauty,53.91,0.1,2,Credit Card,2024-04-14,5,South,No,97.04,6.32,37.35,35,Female,31-45,0-10%,4-5 Days,2024,4,6,1,0,0,0.42808329324072175,42.81,Medium
O100006,C13772,P201363,Electronics,266.5,0.0,1,PayPal,2025-05-20,5,East,No,266.5,9.1,22.88,49,Male,46-60,0-10%,4-5 Days,2025,5,1,0,0,1,0.600677045531593,60.07,High
O100007,C13092,P216691,Beauty,9.98,0.0,1,Credit Card,2023-09-14,4,West,No,9.98,4.51,-0.02,66,Other,Above 60,0-10%,4-5 Days,2023,9,3,0,0,0,0.39781511374041134,39.78,Medium
O100008,C15734,P202751,Fashion,6.61,0.05,1,Debit Card,2023-10-23,6,West,No,6.28,3.43,-1.23,37,Female,31-45,0-10%,6-7 Days,2023,10,0,0,0,1,0.6191635886115666,61.92,High
O100009,C16265,P207782,Grocery,10.91,0.0,1,Credit Card,2023-10-31,6,South,No,10.91,2.76,-1.89,56,Male,46-60,0-10%,6-7 Days,2023,10,1,0,0,0,0.17815833565712605,17.82,Low
