Feature,Importance
remainder__waiting_days,0.7250572813240319
remainder__age,0.11997390036128404
remainder__sms_received,0.06763324624652668
remainder__appointment_month,0.013596834811467782
categorical__gender_M,0.011599331384716029
remainder__hypertension,0.010611901693654809
remainder__scholarship,0.009627566341614095
remainder__handicap,0.008596348319232538
remainder__alcoholism,0.006664521871997647
categorical__appointment_weekday_Monday,0.005973865136762866
remainder__diabetes,0.005745072187258642
categorical__appointment_weekday_Tuesday,0.0056542001410823
categorical__appointment_weekday_Wednesday,0.004817688651312829
categorical__appointment_weekday_Thursday,0.004131750676190035
categorical__appointment_weekday_Saturday,0.00031649085286788455
